x,z
3.000000000000000000e+01,1.400000000000000000e+01
2.964644660940672694e+01,1.435355339059327306e+01
2.929289321881345387e+01,1.470710678118654791e+01
2.891421356237309581e+01,1.500000000000000000e+01
2.841421356237309581e+01,1.500000000000000000e+01
2.793933982822017725e+01,1.493933982822017903e+01
2.758578643762690419e+01,1.458578643762690419e+01
2.723223304703363112e+01,1.423223304703363112e+01
2.687867965644035806e+01,1.387867965644035806e+01
2.652512626584708499e+01,1.352512626584708322e+01
2.617157287525380838e+01,1.317157287525381015e+01
2.581801948466053531e+01,1.281801948466053531e+01
2.546446609406726225e+01,1.246446609406726225e+01
2.511091270347398918e+01,1.211091270347398918e+01
2.475735931288071612e+01,1.175735931288071434e+01
2.440380592228743950e+01,1.140380592228744128e+01
2.405025253169416644e+01,1.105025253169416821e+01
2.369669914110089337e+01,1.069669914110089337e+01
2.334314575050762031e+01,1.034314575050762031e+01
2.298959235991434724e+01,9.989592359914347242e+00
2.263603896932107418e+01,9.636038969321072400e+00
2.228248557872780111e+01,9.282485578727799336e+00
2.192893218813452449e+01,8.928932188134526271e+00
2.157537879754125143e+01,8.575378797541253206e+00
2.122182540694797837e+01,8.221825406947978365e+00
2.081370849898476294e+01,8.000000000000000000e+00
2.031370849898476294e+01,8.000000000000000000e+00
1.981370849898476294e+01,8.000000000000000000e+00
1.931370849898476294e+01,8.000000000000000000e+00
1.886827201635470530e+01,8.131727983645294699e+00
1.851471862576143224e+01,8.485281374238567764e+00
1.816116523516815917e+01,8.838834764831842605e+00
1.800000000000000000e+01,9.272077938642141248e+00
1.800000000000000000e+01,9.772077938642141248e+00
1.800000000000000000e+01,1.027207793864214125e+01
1.800000000000000000e+01,1.077207793864214125e+01
1.800000000000000000e+01,1.127207793864214125e+01
1.800000000000000000e+01,1.177207793864214125e+01
1.800000000000000000e+01,1.227207793864214125e+01
1.800000000000000000e+01,1.277207793864214125e+01
1.800000000000000000e+01,1.327207793864214125e+01
1.800000000000000000e+01,1.377207793864214125e+01
1.800000000000000000e+01,1.427207793864214125e+01
1.800000000000000000e+01,1.477207793864214125e+01
1.800000000000000000e+01,1.527207793864214125e+01
1.800000000000000000e+01,1.577207793864214125e+01
1.800000000000000000e+01,1.627207793864214125e+01
1.800000000000000000e+01,1.677207793864214125e+01
1.800000000000000000e+01,1.727207793864214125e+01
1.800000000000000000e+01,1.777207793864214125e+01
1.800000000000000000e+01,1.827207793864214125e+01
1.800000000000000000e+01,1.877207793864214125e+01
1.800000000000000000e+01,1.927207793864214125e+01
1.800000000000000000e+01,1.977207793864214125e+01
1.800000000000000000e+01,2.027207793864214125e+01
1.800000000000000000e+01,2.077207793864214125e+01
1.819238815542511389e+01,2.119238815542511389e+01
1.854594154601839051e+01,2.154594154601839051e+01
1.889949493661166358e+01,2.189949493661166358e+01
1.925304832720493664e+01,2.225304832720493664e+01
1.960660171779820971e+01,2.260660171779820971e+01
1.996015510839148277e+01,2.296015510839148277e+01
2.031370849898475583e+01,2.331370849898475583e+01
2.066726188957802890e+01,2.366726188957802890e+01
2.102943725152285381e+01,2.400000000000000000e+01
2.152943725152285026e+01,2.400000000000000000e+01
2.202943725152285026e+01,2.400000000000000000e+01
2.252943725152285026e+01,2.400000000000000000e+01
2.302943725152285026e+01,2.400000000000000000e+01
2.352943725152285026e+01,2.400000000000000000e+01
2.402943725152285026e+01,2.400000000000000000e+01
2.452943725152285026e+01,2.400000000000000000e+01
2.502943725152285026e+01,2.400000000000000000e+01
2.552943725152285026e+01,2.400000000000000000e+01
2.602943725152285026e+01,2.400000000000000000e+01
2.652943725152285026e+01,2.400000000000000000e+01
2.702943725152285026e+01,2.400000000000000000e+01
2.752943725152285026e+01,2.400000000000000000e+01
2.802943725152285026e+01,2.400000000000000000e+01
2.852943725152285026e+01,2.400000000000000000e+01
2.902943725152285026e+01,2.400000000000000000e+01
2.952943725152285026e+01,2.400000000000000000e+01
3.002943725152285026e+01,2.400000000000000000e+01
3.052943725152285026e+01,2.400000000000000000e+01
3.102081528017130196e+01,2.402081528017130196e+01
3.137436867076457503e+01,2.437436867076457503e+01
3.172792206135785165e+01,2.472792206135785165e+01
3.208147545195112826e+01,2.508147545195112471e+01
3.243502884254439778e+01,2.543502884254439778e+01
3.278858223313767439e+01,2.578858223313767439e+01
3.285786437626904899e+01,2.614213562373094746e+01
3.250431098567577948e+01,2.649568901432422408e+01
3.215075759508250286e+01,2.684924240491749714e+01
3.179720420448922980e+01,2.720279579551077020e+01
3.144365081389595318e+01,2.755634918610404682e+01
3.109009742330268011e+01,2.790990257669731989e+01
3.073654403270940350e+01,2.826345596729059650e+01
3.038299064211613043e+01,2.861700935788386957e+01
3.002943725152285737e+01,2.897056274847714263e+01
2.967588386092958075e+01,2.932411613907041925e+01
2.932233047033630768e+01,2.967766952966369232e+01
2.896877707974303107e+01,3.003122292025696893e+01
2.861522368914975800e+01,3.038477631085024200e+01
2.826167029855648494e+01,3.073832970144351506e+01
2.790811690796320832e+01,3.109188309203679168e+01
2.755456351736993525e+01,3.144543648263006475e+01
2.720101012677665864e+01,3.179898987322334136e+01
2.678427124746188781e+01,3.200000000000000000e+01
2.628427124746188781e+01,3.200000000000000000e+01
2.578427124746188781e+01,3.200000000000000000e+01
2.528427124746188781e+01,3.200000000000000000e+01
2.478427124746188781e+01,3.200000000000000000e+01
2.428427124746188781e+01,3.200000000000000000e+01
2.378427124746188781e+01,3.200000000000000000e+01
2.328427124746188781e+01,3.200000000000000000e+01
2.278427124746188781e+01,3.200000000000000000e+01
2.228427124746188781e+01,3.200000000000000000e+01
2.178427124746188781e+01,3.200000000000000000e+01
2.128427124746188781e+01,3.200000000000000000e+01
2.078427124746188781e+01,3.200000000000000000e+01
2.028427124746188781e+01,3.200000000000000000e+01
1.978427124746188781e+01,3.200000000000000000e+01
1.928427124746188781e+01,3.200000000000000000e+01
1.878427124746188781e+01,3.200000000000000000e+01
1.828427124746188781e+01,3.200000000000000000e+01
1.778427124746188781e+01,3.200000000000000000e+01
1.728427124746188781e+01,3.200000000000000000e+01
1.678427124746188781e+01,3.200000000000000000e+01
1.628427124746188781e+01,3.200000000000000000e+01
1.578427124746188781e+01,3.200000000000000000e+01
1.528427124746188781e+01,3.200000000000000000e+01
1.484745673618338557e+01,3.215254326381661087e+01
1.449390334559011073e+01,3.250609665440988749e+01
1.414034995499683767e+01,3.285965004500316411e+01
1.400000000000000000e+01,3.330151519016501993e+01
1.400000000000000000e+01,3.380151519016501993e+01
1.400000000000000000e+01,3.430151519016501993e+01
1.400000000000000000e+01,3.480151519016501993e+01
1.400000000000000000e+01,3.530151519016501993e+01
1.400000000000000000e+01,3.580151519016501993e+01
1.400000000000000000e+01,3.630151519016501993e+01
1.400000000000000000e+01,3.680151519016501993e+01
1.400000000000000000e+01,3.730151519016501993e+01
1.400000000000000000e+01,3.780151519016501993e+01
1.400000000000000000e+01,3.830151519016501993e+01
1.400000000000000000e+01,3.880151519016501993e+01
1.400000000000000000e+01,3.930151519016501993e+01
1.400000000000000000e+01,3.980151519016501993e+01
1.400000000000000000e+01,4.030151519016501993e+01
1.400000000000000000e+01,4.080151519016501993e+01
1.400000000000000000e+01,4.130151519016501993e+01
1.400000000000000000e+01,4.180151519016501993e+01
1.400000000000000000e+01,4.230151519016501993e+01
1.400000000000000000e+01,4.280151519016501993e+01
1.400000000000000000e+01,4.330151519016501993e+01
1.400000000000000000e+01,4.380151519016501993e+01
1.400000000000000000e+01,4.430151519016501993e+01
1.400000000000000000e+01,4.480151519016501993e+01
1.400000000000000000e+01,4.530151519016501993e+01
1.400000000000000000e+01,4.580151519016501993e+01
1.421320343559643717e+01,4.621320343559644073e+01
1.456675682618971202e+01,4.656675682618971024e+01
1.492031021678298686e+01,4.692031021678298686e+01
1.538730162779192767e+01,4.700000000000000000e+01
1.588730162779192767e+01,4.700000000000000000e+01
1.638730162779192767e+01,4.700000000000000000e+01
1.688730162779192767e+01,4.700000000000000000e+01
1.727386360737625992e+01,4.672613639262373653e+01
1.762741699796953654e+01,4.637258300203046701e+01
1.798097038856280960e+01,4.601902961143719040e+01
1.833452377915608267e+01,4.566547622084391378e+01
1.868807716974935929e+01,4.531192283025064427e+01
1.904163056034263235e+01,4.495836943965736765e+01
1.939518395093590897e+01,4.460481604906409103e+01
1.974873734152918203e+01,4.425126265847082152e+01
2.010229073212245510e+01,4.389770926787754490e+01
2.045584412271573171e+01,4.354415587728426829e+01
2.080939751330900478e+01,4.319060248669099167e+01
2.116295090390228140e+01,4.283704909609772216e+01
2.151650429449555446e+01,4.248349570550444554e+01
2.187005768508882753e+01,4.212994231491116892e+01
2.222361107568210414e+01,4.177638892431789941e+01
2.257716446627537721e+01,4.142283553372462279e+01
2.293071785686865383e+01,4.106928214313134617e+01
2.328427124746192689e+01,4.071572875253807666e+01
2.363782463805519996e+01,4.036217536194480004e+01
2.399137802864847657e+01,4.000862197135152343e+01
2.448780669118028186e+01,4.000000000000000000e+01
2.498780669118028186e+01,4.000000000000000000e+01
2.548780669118028186e+01,4.000000000000000000e+01
2.598780669118028186e+01,4.000000000000000000e+01
2.648780669118028186e+01,4.000000000000000000e+01
2.698780669118028186e+01,4.000000000000000000e+01
2.748780669118028186e+01,4.000000000000000000e+01
2.798780669118028186e+01,4.000000000000000000e+01
2.848780669118028186e+01,4.000000000000000000e+01
2.898780669118028186e+01,4.000000000000000000e+01
2.948780669118028186e+01,4.000000000000000000e+01
2.998780669118028186e+01,4.000000000000000000e+01
3.048780669118028186e+01,4.000000000000000000e+01
3.098780669118028186e+01,4.000000000000000000e+01
3.148780669118028186e+01,4.000000000000000000e+01
3.198780669118028186e+01,4.000000000000000000e+01
3.248780669118028186e+01,4.000000000000000000e+01
3.298780669118028186e+01,4.000000000000000000e+01
3.348780669118028186e+01,4.000000000000000000e+01
3.398780669118028186e+01,4.000000000000000000e+01
3.448780669118028186e+01,4.000000000000000000e+01
3.498780669118028186e+01,4.000000000000000000e+01
3.548780669118028186e+01,4.000000000000000000e+01
3.598780669118028186e+01,4.000000000000000000e+01
3.648780669118028186e+01,4.000000000000000000e+01
3.698780669118028186e+01,4.000000000000000000e+01
3.748780669118028186e+01,4.000000000000000000e+01
3.798780669118028186e+01,4.000000000000000000e+01
3.848780669118028186e+01,4.000000000000000000e+01
3.898780669118028186e+01,4.000000000000000000e+01
3.948780669118028186e+01,4.000000000000000000e+01
3.998780669118028186e+01,4.000000000000000000e+01
4.048780669118028186e+01,4.000000000000000000e+01
4.098780669118028186e+01,4.000000000000000000e+01
4.148780669118028186e+01,4.000000000000000000e+01
4.198780669118028186e+01,4.000000000000000000e+01
4.248780669118028186e+01,4.000000000000000000e+01
4.298780669118028186e+01,4.000000000000000000e+01
4.348780669118028186e+01,4.000000000000000000e+01
4.398780669118028186e+01,4.000000000000000000e+01
4.448780669118028186e+01,4.000000000000000000e+01
4.498780669118028186e+01,4.000000000000000000e+01
4.500000000000000000e+01,4.000000000000000000e+01
